0// yes every line must start with a number, starting from 0
1// lines starting with 'line_no//' are comments and are ignored
2// lines starting with 'line_no   ' (3 spaces) contain data
3// yes there must be a line with just the line number at the end for better error messages
4// Level declarations are the same used by the constructor
5// \line_no\   wave("\desc:str\")
6// \line_no\   Spawnpoint(\type:n\, \perc_x:f\, \perc_y:f\, \angle:f\, \amount:n\, \spawn_delta:f\, \initial_delay:f\)
7   Wave("donuts")
8   Spawnpoint(2, 0.1f, 0.1f, -180.0f, 2, 10.0f, 0.0f)
9   Spawnpoint(2, 0.4f, 0.1f, -180.0f, 2, 10.0f, 2.0f)
10   Spawnpoint(2, 0.7f, 0.1f, -180.0f, 2, 10.0f, 4.0f)
11   Wave("half-circles-u")
12   Spawnpoint(6, 0.5f, -0.1f, -180.0f, 5, 3.0f, 0.0f)
13   Spawnpoint(8, 0.5f, -0.1f, 180.0f, 5, 3.0f, 1.5f)
14   Wave("tank-u")
15   Spawnpoint(4, 0.1f, -0.1f, -180.0f, 1, 0.0f, 0.0f)
16   Spawnpoint(4, 0.3f, -0.1f, -180.0f, 1, 0.0f, 2.0f)
17   Spawnpoint(4, 0.7f, -0.1f, -180.0f, 1, 0.0f, 2.0f)
18   Spawnpoint(4, 0.9f, -0.1f, -180.0f, 1, 0.0f, 0.0f)
19   Wave("simple-u-h")
20   Spawnpoint(7, 0.1f, -0.1f, -170.0f, 6, 2.0f, 0.3f)
21   Spawnpoint(1, 0.2f, -0.1f, -165.0f, 4, 2.0f, 1.4f)
22   Spawnpoint(7, 0.3f, -0.1f, 175.0f, 5, 2.2f, 0.7f)
23   Spawnpoint(1, 0.45f, -0.1f, -165.0f, 6, 1.9f, 1.1f)
24   Spawnpoint(1, 0.58f, -0.1f, 170.0f, 8, 1.7f, 1.2f)
25   Spawnpoint(7, 0.70f, -0.1f, 175.0f, 7, 2.2f, 0.5f)
26   Spawnpoint(1, 0.81f, -0.1f, 150.0f, 4, 2.7f, 0.8f)
27   Wave("simple-u-e")
28   Spawnpoint(7, 0.2f, -0.1f, -175.0f, 4, 2.8f, 0.0f)
29   Spawnpoint(1, 0.3f, -0.1f, -175.0f, 3, 3.1f, 1.3f)
30   Spawnpoint(7, 0.6f, -0.1f, 175.0f, 4, 1.5f, 2.5f)
31   Spawnpoint(1, 0.9f, -0.1f, 170.0f, 4, 2.3f, 1.9f)
32   Wave("simple-u-m")
33   Spawnpoint(7, 0.2f, -0.1f, -175.0f, 6, 2.7f, 0.2f)
34   Spawnpoint(1, 0.35f, -0.1f, -170.0f, 5, 3.4f, 1.8f)
35   Spawnpoint(7, 0.4f, -0.1f, -175.0f, 6, 2.4f, 0.9f)
36   Spawnpoint(7, 0.5f, -0.1f, 170.0f, 5, 3.0f, 1.7f)
37   Spawnpoint(7, 0.6f, -0.1f, 175.0f, 6, 2.7f, 1.1f)
38   Spawnpoint(1, 0.75f, -0.1f, 170.0f, 6, 3.3f, 0.5f)
39   Spawnpoint(1, 0.85f, -0.1f, 165.0f, 4, 3.7f, 1.4f)
40   Wave("half-circles-s")
41   Spawnpoint(8, -0.1f, 0.25f, -45.0f, 2, 5.0f, 0.0f)
42   Spawnpoint(8, -0.1f, 0.35f, -45.0f, 2, 5.0f, 2.0f)
43   Spawnpoint(8, -0.1f, 0.45f, -45.0f, 2, 5.0f, 4.0f)
44   Spawnpoint(6, 1.1f, 0.30f, 45.0f, 2, 5.0f, 1.0f)
45   Spawnpoint(6, 1.1f, 0.40f, 45.0f, 2, 5.0f, 3.0f)
46   Spawnpoint(6, 1.1f, 0.50f, 45.0f, 2, 5.0f, 5.0f)
47   Wave("tank-l")
48   Spawnpoint(4, -0.1f, 0.15f, -90.0f, 2, 7.0f, 0.0f)
49   Spawnpoint(4, -0.1f, 0.25f, -90.0f, 2, 7.0f, 1.0f)
50   Spawnpoint(4, -0.1f, 0.35f, -90.0f, 2, 7.0f, 2.0f)
51   Wave("tank-r")
52   Spawnpoint(4, 1.1f, 0.15f, 90.0f, 2, 7.0f, 0.0f)
53   Spawnpoint(4, 1.1f, 0.25f, 90.0f, 2, 7.0f, 1.0f)
54   Spawnpoint(4, 1.1f, 0.35f, 90.0f, 2, 7.0f, 2.0f)
55   Wave("simple-l-h")
56   Spawnpoint(7, -0.1f, 0.10f, -135.0f, 7, 2.8f, 0.1f)
57   Spawnpoint(7, -0.1f, 0.15f, -135.0f, 7, 3.0f, 0.5f)
58   Spawnpoint(1, -0.1f, 0.20f, -125.0f, 4, 4.0f, 2.4f)
59   Spawnpoint(7, -0.1f, 0.15f, -110.0f, 5, 4.1f, 2.0f)
60   Spawnpoint(7, -0.1f, 0.20f, -120.0f, 6, 3.7f, 1.7f)
61   Spawnpoint(1, -0.1f, 0.25f, -110.0f, 4, 4.4f, 2.9f)
62   Spawnpoint(7, -0.1f, 0.25f, -120.0f, 6, 3.7f, 1.0f)
63   Spawnpoint(1, -0.1f, 0.30f, -110.0f, 7, 3.3f, 0.7f)
64   Wave("simple-l-m")
65   Spawnpoint(7, -0.1f, 0.15f, -135.0f, 6, 3.0f, 0.1f)
66   Spawnpoint(1, -0.1f, 0.20f, -125.0f, 6, 3.5f, 0.9f)
67   Spawnpoint(7, -0.1f, 0.15f, -110.0f, 4, 4.0f, 1.4f)
68   Spawnpoint(7, -0.1f, 0.20f, -120.0f, 5, 3.7f, 2.2f)
69   Spawnpoint(1, -0.1f, 0.25f, -110.0f, 6, 3.3f, 0.6f)
70   Wave("simple-l-e")
71   Spawnpoint(7, -0.1f, 0.15f, -135.0f, 4, 3.4f, 0.1f)
72   Spawnpoint(1, -0.1f, 0.20f, -125.0f, 4, 3.9f, 0.9f)
73   Spawnpoint(1, -0.1f, 0.15f, -110.0f, 3, 4.3f, 1.4f)
74   Spawnpoint(7, -0.1f, 0.20f, -120.0f, 3, 4.1f, 1.7f)
75   Wave("simple-r-h")
76   Spawnpoint(7, 1.1f, 0.10f, 135.0f, 6, 2.8f, 0.1f)
77   Spawnpoint(7, 1.1f, 0.15f, 135.0f, 7, 3.0f, 0.5f)
78   Spawnpoint(1, 1.1f, 0.20f, 125.0f, 7, 3.2f, 2.4f)
79   Spawnpoint(7, 1.1f, 0.15f, 110.0f, 7, 3.5f, 2.0f)
80   Spawnpoint(7, 1.1f, 0.20f, 120.0f, 4, 3.2f, 1.7f)
81   Spawnpoint(1, 1.1f, 0.25f, 110.0f, 5, 4.4f, 2.9f)
82   Spawnpoint(7, 1.1f, 0.25f, 120.0f, 6, 3.7f, 1.0f)
83   Spawnpoint(1, 1.1f, 0.30f, 110.0f, 4, 4.0f, 0.7f)
84   Wave("simple-r-m")
85   Spawnpoint(7, 1.1f, 0.15f, 135.0f, 4, 4.0f, 0.1f)
86   Spawnpoint(1, 1.1f, 0.20f, 125.0f, 5, 3.5f, 0.9f)
87   Spawnpoint(7, 1.1f, 0.15f, 110.0f, 6, 3.0f, 1.4f)
88   Spawnpoint(7, 1.1f, 0.20f, 120.0f, 6, 3.2f, 2.2f)
